GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Woippy;180000;1;161+552;51ee70f4-6665-11e3-afff-01f464e0362d;930172.1868999973;6900244.0068;6.156233142773984;49.16055402524084;49.16055402524084, 6.156233142773984;49.160554025220314, 6.156233142773987;"{""coordinates"": [6.156233142773987, 49.160554025220314], ""type"": ""Point""}"
St-Pol-sur-Ternoise;289000;1;072+720;cef8d228-dfb5-11e3-8eff-01a464e0362d;653127.5790000036;7031395.2401;2.341939250259107;50.37845496033498;50.37845496033498, 2.341939250259107;50.37845496032019, 2.3419392502591063;"{""coordinates"": [2.341939250259106, 50.37845496032019], ""type"": ""Point""}"
Limoges-Puy-Imbert;606606;1;471+521;51eb841c-6665-11e3-afff-01f464e0362d;565995.0605000034;6532306.833700001;1.2722285518756828;45.877234438625344;45.877234438625344, 1.2722285518756828;45.877234438608234, 1.2722285518756817;"{""coordinates"": [1.272228551875682, 45.877234438608234], ""type"": ""Point""}"
Moulins-sur-Allier;705000;1;408+143;51f0792e-6665-11e3-afff-01f464e0362d;725902.4337000027;6606546.943399999;3.338119616910315;46.5584522745021;46.5584522745021, 3.338119616910315;46.558452274486974, 3.3381196169103156;"{""coordinates"": [3.338119616910316, 46.558452274486974], ""type"": ""Point""}"
St-Gildas-des-Bois;470000;1;494+303;cef37cfe-dfb5-11e3-8eff-01a464e0362d;320572.8333000019;6725086.080200002;-2.045037612781885;47.51701462535107;47.51701462535107, -2.045037612781885;47.51701462533875, -2.045037612781889;"{""coordinates"": [-2.045037612781889, 47.51701462533875], ""type"": ""Point""}"
Neuville-sur-Saône;887000;1;016+753;51f0ee52-6665-11e3-afff-01f464e0362d;842345.677199997;6533246.5271999985;4.8355554227660145;45.88399961125228;45.88399961125228, 4.8355554227660145;45.88399961123519, 4.835555422766015;"{""coordinates"": [4.835555422766015, 45.88399961123519], ""type"": ""Point""}"
Montrabé;718000;1;392+294;cef41de8-dfb5-11e3-8eff-01a464e0362d;577640.9046000019;6283260.281300001;1.4839837368629305;43.637816113507704;43.637816113507704, 1.4839837368629305;43.63781611348455, 1.4839837368629292;"{""coordinates"": [1.483983736862929, 43.63781611348455], ""type"": ""Point""}"
Souvans;869000;1;376+322;cefa656e-dfb5-11e3-8eff-01a464e0362d;893211.192400001;6658639.914000001;5.543142883152155;46.99997668011464;46.99997668011464, 5.543142883152155;46.999976680100815, 5.543142883152157;"{""coordinates"": [5.543142883152157, 46.999976680100815], ""type"": ""Point""}"
Les Aubrais-Orléans;683000;1;119+953;51e84032-6665-11e3-afff-01f464e0362d;619303.3303000033;6762232.844999999;1.9188528783358345;47.9555140982661;47.9555140982661, 1.9188528783358345;47.9555140982551, 1.9188528783358336;"{""coordinates"": [1.918852878335834, 47.9555140982551], ""type"": ""Point""}"
St-Ouen-les-Docks;963000;1;005+743;51eebc62-6665-11e3-afff-01f464e0362d;650404.7660000026;6867707.718899999;2.323405159624426;48.90745496667122;48.90745496667122, 2.323405159624426;48.90745496664942, 2.3234051596244254;"{""coordinates"": [2.323405159624425, 48.90745496664942], ""type"": ""Point""}"
Maubeuge;242000;1;226+548;51eeabca-6665-11e3-afff-01f464e0362d;767272.3197000027;7019036.8726;3.942369433285386;50.26564784915736;50.26564784915736, 3.942369433285386;50.265647849142056, 3.942369433285387;"{""coordinates"": [3.942369433285387, 50.265647849142056], ""type"": ""Point""}"
Asnières-lès-Bourges;682000;1;130+664;51e0dd5a-6665-11e3-afff-01f464e0362d;655734.5644999966;6668816.839000002;2.4161743983431383;47.11814319536136;47.11814319536136, 2.4161743983431383;47.11814319534788, 2.416174398343138;"{""coordinates"": [2.416174398343138, 47.11814319534788], ""type"": ""Point""}"
Aulnay-sous-Bois;229606;1;004+860;51e9513e-6665-11e3-afff-01f464e0362d;661597.4890000001;6873894.078000002;2.4755343572409996;48.963850057783546;48.963850057783546, 2.4755343572409996;48.96385005776203, 2.475534357240999;"{""coordinates"": [2.475534357240999, 48.96385005776203], ""type"": ""Point""}"
Marle-sur-Serre;229000;1;163+468;a4aa42e0-9243-11e3-94ff-010c64e0362d;755061.2380999997;6960832.4736;3.7634423223489666;49.744071666250534;49.744071666250534, 3.7634423223489666;49.74407166623283, 3.7634423223489675;"{""coordinates"": [3.763442322348967, 49.74407166623283], ""type"": ""Point""}"
Villiers-sur-Marne-Le Plessis-Trévise;959300;1;001+050;a09a300a-f8e9-11e6-99ff-01b864e0362d;665360.5310000032;6858143.658500001;2.5282103825736386;48.822424261418675;48.822424261418675, 2.5282103825736386;48.82242426139644, 2.5282103825736386;"{""coordinates"": [2.528210382573639, 48.82242426139644], ""type"": ""Point""}"
Aulnay-sous-Bois;229606;1;002+420;51e1905e-6665-11e3-afff-01f464e0362d;661704.2382000014;6871581.276500002;2.4772013191494335;48.943059218680155;48.943059218680155, 2.4772013191494335;48.94305921865853, 2.4772013191494335;"{""coordinates"": [2.477201319149434, 48.94305921865853], ""type"": ""Point""}"
Saulon;860000;1;326+264;14deac3c-a761-11eb-97ff-01a0b2273146;858448.0275000036;6683614.4617;5.09452741798594;47.233916785520194;47.233916785520194, 5.09452741798594;47.233916785507056, 5.094527417985942;"{""coordinates"": [5.094527417985942, 47.233916785507056], ""type"": ""Point""}"
;521000;1;153+827;51eaeb52-6665-11e3-afff-01f464e0362d;434857.93460000306;6713430.779199999;-0.5209955408085734;47.468023308568405;47.468023308568405, -0.5209955408085734;47.46802330855597, -0.5209955408085761;"{""coordinates"": [-0.520995540808576, 47.46802330855597], ""type"": ""Point""}"
Lescar;650000;1;223+782;51f03a24-6665-11e3-afff-01f464e0362d;420205.1722000018;6254390.647500001;-0.4492223807249208;43.33365833539469;43.33365833539469, -0.4492223807249208;43.333658335370785, -0.4492223807249224;"{""coordinates"": [-0.449222380724922, 43.333658335370785], ""type"": ""Point""}"
Maroeuil;307000;1;201+811;51e94b6e-6665-11e3-afff-01f464e0362d;678548.7370000035;7024876.0636;2.6991802731447456;50.321313059853544;50.321313059853544, 2.6991802731447456;50.321313059838495, 2.699180273144745;"{""coordinates"": [2.699180273144745, 50.321313059838495], ""type"": ""Point""}"
Hagondange;180000;1;170+655;51ec9fa8-6665-11e3-afff-01f464e0362d;930248.0209000036;6909291.049199998;6.1622374267290745;49.24179682093845;49.24179682093845, 6.1622374267290745;49.2417968209183, 6.162237426729077;"{""coordinates"": [6.162237426729077, 49.2417968209183], ""type"": ""Point""}"
Villeneuve-le-Roi;570000;1;013+254;51ef36f4-6665-11e3-afff-01f464e0362d;657732.8254999965;6847994.135299999;2.4253303998569216;48.73068840789657;48.73068840789657, 2.4253303998569216;48.73068840787388, 2.425330399856921;"{""coordinates"": [2.425330399856921, 48.73068840787388], ""type"": ""Point""}"
Arbois;880000;1;404+622;51e80c78-6665-11e3-afff-01f464e0362d;907033.070600003;6649256.681499999;5.720680237318037;46.91139430863232;46.91139430863232, 5.720680237318037;46.91139430861824, 5.72068023731804;"{""coordinates"": [5.72068023731804, 46.91139430861824], ""type"": ""Point""}"
Neuillé-Pont-Pierre;561000;1;262+765;cef3e42c-dfb5-11e3-8eff-01a464e0362d;517352.93190000206;6719916.435600001;0.5710152996729874;47.554335818098615;47.554335818098615, 0.5710152996729874;47.55433581808641, 0.5710152996729858;"{""coordinates"": [0.571015299672986, 47.55433581808641], ""type"": ""Point""}"
Lézignan-la-Cèbe;732000;2;471+506;51e43ae8-6665-11e3-afff-01f464e0362d;735353.5856000036;6265287.404199999;3.4368444524761106;43.485795765696125;43.485795765696125, 3.4368444524761106;43.485795765672584, 3.436844452476111;"{""coordinates"": [3.436844452476111, 43.485795765672584], ""type"": ""Point""}"
Petit-Coeur-La Léchère-les-Bains;899000;1;046+269;51e3d1ee-6665-11e3-afff-01f464e0362d;972048.3332000002;6497066.0342999995;6.485831103778573;45.51901770200882;45.51901770200882, 6.485831103778573;45.51901770199069, 6.485831103778575;"{""coordinates"": [6.485831103778575, 45.51901770199069], ""type"": ""Point""}"
Alès;805000;1;755+840;51f0f68e-6665-11e3-afff-01f464e0362d;792805.3866000026;6342365.0304000005;4.160672869090364;44.17415488458452;44.17415488458452, 4.160672869090364;44.174154884562704, 4.160672869090364;"{""coordinates"": [4.160672869090364, 44.174154884562704], ""type"": ""Point""}"
Sarrancolin;667000;1;139+781;51e2228e-6665-11e3-afff-01f464e0362d;486058.3401999995;6209699.432700001;0.3801751233936001;42.95473063996905;42.95473063996905, 0.3801751233936001;42.95473063994429, 0.38017512339359893;"{""coordinates"": [0.380175123393599, 42.95473063994429], ""type"": ""Point""}"
Layrac;647000;1;149+367;51e87c08-6665-11e3-afff-01f464e0362d;512540.8597000018;6336432.171399999;0.6582568062490559;44.10187419500649;44.10187419500649, 0.6582568062490559;44.1018741949845, 0.6582568062490547;"{""coordinates"": [0.658256806249055, 44.1018741949845], ""type"": ""Point""}"
Montauban-Ville-Bourbon;640000;1;211+074;51e08e5c-6665-11e3-afff-01f464e0362d;564759.6316;6321056.140799999;1.3144373060840928;43.97551592610752;43.97551592610752, 1.3144373060840928;43.9755159260852, 1.314437306084092;"{""coordinates"": [1.314437306084092, 43.9755159260852], ""type"": ""Point""}"
Thionville;178000;1;002+372;51f028ac-6665-11e3-afff-01f464e0362d;932221.6394999996;6923119.712099999;6.196999136963117;49.365291872977785;49.365291872977785, 6.196999136963117;49.36529187295825, 6.196999136963119;"{""coordinates"": [6.196999136963119, 49.36529187295825], ""type"": ""Point""}"
Brienne-le-Château;015000;1;211+353;a4a9d104-9243-11e3-94ff-010c64e0362d;815275.8254999965;6814320.137499999;4.558094058365887;48.41893107537822;48.41893107537822, 4.558094058365887;48.418931075353896, 4.558094058365889;"{""coordinates"": [4.558094058365889, 48.418931075353896], ""type"": ""Point""}"
Clermont-Ferrand;784000;1;003+974;cef29236-dfb5-11e3-8eff-01a464e0362d;711375.4302999973;6521470.4518;3.1464314118794348;45.79276119587239;45.79276119587239, 3.1464314118794348;45.79276119585505, 3.1464314118794348;"{""coordinates"": [3.146431411879435, 45.79276119585505], ""type"": ""Point""}"
Le Bourget;229000;1;009+818;51ecac60-6665-11e3-afff-01f464e0362d;658375.7650000006;6870353.9646999985;2.4318843620417008;48.93181606608269;48.93181606608269, 2.4318843620417008;48.93181606606101, 2.4318843620417003;"{""coordinates"": [2.4318843620417, 48.93181606606101], ""type"": ""Point""}"
Castres;736000;1;362+652;51e867fc-6665-11e3-afff-01f464e0362d;634660.3563999981;6277371.8993999995;2.1911249984985006;43.59239184869937;43.59239184869937, 2.1911249984985006;43.5923918486761, 2.1911249984984997;"{""coordinates"": [2.1911249984985, 43.5923918486761], ""type"": ""Point""}"
